CNTYVTD,VTDKEY,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0292140",538,219,482
"0292141",539,290,439
"0292142",540,69,177
"0292143",541,474,589
"0292144",542,337,688
"0292145",543,85,120
"0292146",544,8,27
"0292147",545,82,148
"0292148",546,601,1345
"0292149",547,239,597
"0292150",548,0,3
"0292151",549,2,7
"0292152",550,50,209
"0292153",551,47,111
"0292154",552,898,1176
"0292155",553,1,0
"0292156",554,166,412
"0292157",555,0,0
"0292158",556,0,0
"0292159",557,41,63
"0292160",558,0,1
"0293001",559,1027,813
"0293002",560,633,682
"0293003",561,23,18
"0293004",562,0,1
"0293005",563,974,442
"0293006",564,368,336
"0293007",565,809,742
"0293008",566,44,17
"0293009",567,9,2
"0293010",568,98,176
"0293011",569,348,337
"0293012",570,457,189
"0293013",571,435,645
"0293014",572,154,165
"0293015",573,94,114
"0293016",574,64,61
"0293017",575,1170,437
"0293018",576,707,536
"0293019",577,104,217
"0293020",578,844,921
"0293021",579,1261,480
"0293022",580,556,511
"0293023",581,543,822
"0293024",582,0,0
"0293025",583,643,512
"0293026",584,616,435
"0293027",585,528,431
"0293028",586,575,540
"0293029",587,331,401
"0293030",588,864,594
"0293031",589,6,9
"0293032",590,386,711
"0293033",591,901,452
"0293034",592,1454,376
"0293035",593,218,258
"0293036",594,712,1283
"0293037",595,721,899
"0293038",596,384,396
"0293039",597,1509,837
"0293040",598,611,652
"0293041",599,203,156
"0293042",600,781,519
"0293043",601,1139,511
"0293044",602,477,440
"0293045",603,641,365
"0293046",604,507,466
"0293047",605,633,614
"0293048",606,502,546
"0293049",607,858,615
"0293050",608,391,302
"0293051",609,158,96
"0293052",610,1474,1166
"0293053",611,632,512
"0293054",612,379,583
"0293055",613,1343,443
"0293056",614,352,635
"0293057",615,200,174
"0293058",616,639,1049
"0293059",617,526,439
"0293060",618,538,602
"0293061",619,439,587
"0293062",620,14,12
"0293063",621,569,631
"0293064",622,122,154
"0293065",623,10,26
"0293066",624,583,624
"0293067",625,541,483
"0293068",626,354,860
"0293069",627,1003,1020
"0293070",628,903,799
"0293071",629,568,838
"0293072",630,1339,905
"0293073",631,449,523
"0293074",632,888,786
"0293075",633,1393,715
"0293076",634,626,350
"0293077",635,844,765
"0293078",636,969,787
"0293079",637,1131,900
"0293080",638,381,314
"0293081",639,679,677
"0293082",640,675,685
"0293083",641,547,414
"0293084",642,947,846
"0293085",643,381,377
"0293086A",644,639,524
"0293086B",645,0,0
"0293087",646,534,383
"0293088",647,1127,809
"0293089",648,1965,815
"0293090",649,978,831
"0293091",650,443,151
"0293092",651,1310,590
"0293093",652,1659,1076
"0293094",653,1243,796
"0293095",654,441,861
"0293096",655,1227,846
"0293097",656,4,0
"0293098",657,424,375
"0293099",658,1023,927
"0293100",659,801,875
"0293101",660,812,731
"0293102",661,1128,808
"0293103",662,150,206
"0293104",663,924,722
"0293105",664,905,840
"0293106A",665,687,394
"0293106B",666,0,0
"0293107",667,298,560
"0293108",668,611,372
"0293109",669,593,916
"0293110",670,825,870
"0293111",671,0,2
"0293112",672,255,503
"0293113",673,163,359
"0293114",674,1037,488
"0293115",675,756,556
"0293116",676,375,531
"0293117",677,1092,877
"0293118",678,279,296
"0293119",679,997,1117
"0293120",680,850,951
"0293121",681,1321,1127
"0293122",682,720,621
"0293123",683,204,121
"0293124",684,1015,779
"0293125A",685,1229,776
"0293125B",686,3,1
"0293126",687,616,399
"0293127",688,826,1081
"0293128",689,25,22
"0293129",690,717,1061
"0293130",691,793,410
"0293131",692,0,3
"0293132",693,224,422
"0293133",694,0,0
"0293134",695,393,1085
"0293135",696,223,302
"0293136",697,149,167
"0293137",698,1339,1092
"0293138",699,28,9
"0293139",700,305,467
"0293140",701,84,147
"0293141",702,280,447
"0293142",703,61,110
"0293143",704,400,480
"0293144",705,67,74
"0293145",706,1006,794
"0293146",707,738,1109
"0293147",708,650,817
"0293148",709,445,300
"0293149",710,257,1308
"0293150",711,8,8
"0293151",712,948,823
"0293152",713,249,521
"0293153",714,460,451
"0293154",715,677,414
"0293155",716,914,657
"0293156",717,10,7
"0293157",718,907,792
"0293158",719,27,17
"0293159",720,405,608
"0293160",721,504,393
"0293161",722,525,784
"0293162",723,287,380
"0293163",724,883,656
"0293164",725,745,431
"0293165",726,1226,925
"0293166",727,134,181
"0293167",728,4,2
"0293168",729,77,96
"0293169",730,47,28
"0293170",731,0,0
"0293171",732,0,1
"0293172",733,106,171
"0293173",734,1114,890
"0293174",735,1637,985
"0293175",736,183,204
"0293176",737,21,17
"0293177",738,0,0
"0293178",739,0,0
"0293179",740,1,1
"0293180",741,279,368
"0293181",742,787,499
"0293182",743,256,257
"0293183",744,9,1
"0293184",745,61,43
"0293185",746,121,117
"0293186",747,1,0
"0293187",748,0,0
"0293188",749,0,0
"0293189",750,277,332
"0293190",751,99,123
"0293191",752,76,53
"0293192",753,0,0
"0293193",754,72,49
"0293194",755,1292,708
"0293195",756,258,867
"0293196",757,6,3
"0293197",758,0,0
"0293198",759,203,200
"0293199A",760,1079,737
"0293199B",761,0,0
"0293200",762,0,0
"0293201",763,1534,829
"0293202",764,338,240
"0293203",765,182,115
"0293204",766,0,0
"0293205",767,0,0
"0293206A",768,8,52
"0293206B",769,0,0
"0293206C",770,0,0
"0293207",771,1,3
"0293208",772,12,27
"0293209",773,353,217
"0293210",774,570,492
"0294001",775,410,910
"0294002",776,47,264
"0294003",777,61,359
"0294004",778,102,302
"0294005",779,120,634
"0294006",780,45,232
"0294007A",781,181,185
"0294007B",782,0,0
"0294007C",783,0,0
"0294007D",784,0,0
"0294007E",785,0,0
"0294008",786,194,233
"0294009",787,54,247
"0294010",788,30,335
"0294011",789,38,409
"0294012",790,43,211
"0294013",791,85,294
"0294014",792,31,130
"0294015",793,126,657
"0294016",794,210,823
"0294017",795,201,902
"0294018",796,157,518
"0294019",797,245,715
"0294020",798,184,360
"0294021",799,210,312
"0294022",800,26,30
"0294023",801,396,670
"0294024",802,364,821
"0294025",803,139,359
"0294026",804,316,1023
"0294027",805,198,519
"0294028",806,243,874
"0294029",807,112,695
"0294030",808,9,122
"0294031",809,161,518
"0294032",810,247,533
"0294033",811,449,929
"0294034",812,251,506
"0294035",813,5,15
"0294036",814,193,957
"0294037",815,54,512
"0294038",816,678,1056
"0294039",817,33,447
"0294040",818,71,411
"0294041",819,85,669
"0294042",820,21,26
"0294043",821,499,865
"0294044",822,212,375
"0294045",823,405,695
"0294046",824,763,684
"0294047",825,352,720
"0294048",826,130,561
"0294049",827,303,632
"0294050",828,502,397
"0294051",829,639,497
"0294052",830,609,548
"0294053",831,344,521
"0294054",832,805,1016
"0294055",833,420,331
"0294056",834,745,746
"0294057",835,710,389
"0294058",836,609,360
"0294059",837,545,587
"0294060",838,365,521
"0294061",839,270,580
"0294062",840,83,207
"0294063",841,130,218
"0294064",842,497,580
"0294065",843,374,1111
"0294066",844,513,953
"0294067",845,322,400
"0294068",846,73,138
"0294069",847,374,213
"0294070",848,383,1088
"0294071",849,740,146
"0294072",850,1164,448
"0294073",851,378,343
"0294074",852,455,405
"0294075",853,51,240
"0294076",854,334,803
"0294077",855,432,819
"0294078",856,533,160
"0294079",857,413,327
"0294080",858,293,589
"0294081",859,114,76
"0294082",860,76,536
"0294083",861,141,196
"0294084",862,41,134
"0294085",863,12,0
"0294086",864,137,80
"0294087",865,405,625
"0294088",866,525,1062
"0294089",867,639,748
"0294090",868,457,537
"0294091",869,167,363
"0294092",870,502,406
"0294093",871,529,646
"0294094",872,455,475
"0294095",873,426,439
"0294096",874,364,643
"0294097",875,388,442
"0294098",876,361,439
"0294099",877,205,347
"0294100",878,193,276
"0294101",879,286,193
"0294102",880,84,215
"0294103",881,0,0
"0294104",882,387,469
"0294105",883,567,454
"0294106",884,46,116
"0294107",885,358,397
"0294108",886,721,846
"0294109",887,134,247
"0294110",888,143,470
"0294111",889,9,109
"0294112",890,316,217
"0294113",891,48,252
"0294114",892,12,11
"0294115",893,59,50
"0294116",894,16,14
"0294117",895,150,164
"0294118",896,40,7
"0294119",897,78,253
"0294120",898,27,57
"0294121",899,56,35
"0294122",900,10,40
"0294123",901,16,57
"0294124",902,163,592
"0294125",903,7,26
"0294126",904,428,267
"0294127",905,10,10
"0294128",906,32,62
"0294129",907,32,16
"0294130",908,150,208
"0294131",909,52,103
"0294132",910,386,725
"0294133",911,16,1
"0294134",912,1,3
"0294135",913,0,0
"0294136",914,128,56
"0294137",915,50,6
"0294138",916,2,2
"0294139",917,0,0
"0294140",918,0,0
"0294141",919,11,83
"0294142",920,33,192
"0294143",921,390,1146
"0294144",922,194,103
"0294145",923,4,2
"0294146",924,5,12
"0294147",925,65,83
"0294148",926,37,51
"0294149",927,65,105
"0294150",928,235,499
"0294151",929,231,61
"0294152",930,355,533
"0294153",931,22,25
"0294154",932,145,207
"0294155",933,262,1081
"0294156",934,116,327
"0294157",935,157,668
"0294158",936,77,166
"0294159",937,4,3
"0294160",938,205,522
"0294161",939,19,189
"0294162",940,483,566
"0294163",941,325,648
"0294164",942,763,513
"0294165",943,35,19
"0294166",944,45,72
"0294167",945,5,8
"0294168",946,301,618
"0294169",947,111,84
"0294170",948,66,103
"0294171",949,348,335
"0294172",950,260,306
"0294173",951,415,443
"0294174",952,240,372
"0294175",953,0,0
"0294176",954,298,247
"0294177",955,1,18
"0294178",956,0,2
"0294179",957,756,782
"0294180",958,2,0
"0294181",959,0,0
"0294182",960,1,0
"0294183",961,12,42
"0294184",962,1,9
"0294185",963,2,0
"0294186",964,10,49
"0294187",965,0,0
"0294188",966,0,1
"0294189",967,94,265
"0294190",968,0,2
"0294191",969,0,0
"0294192",970,0,0
"0294193",971,5,13
"0294194",972,140,159
"0294195",973,0,0
"0294196",974,0,0
"0294197",975,1,4
"0294198",976,201,525
"0294199",977,189,310
"0294200",978,372,837
"0294201",979,7,2
"0294202",980,0,0
"0294203",981,40,148
"0294204",982,1,2
"0294205",983,27,30
"0294206",984,87,119
"0294207",985,12,2
"0294208",986,0,0
"0294209",987,23,4
"0294210",988,3,3
"0294211",989,1,19
"0294212",990,2,0
"0294213",991,0,1
"0310102",992,1055,332
"0310201",993,1112,369
"0310302",994,538,259
"0310303",995,293,79
"0310304",996,136,56
"0310401",997,1108,415
"0330004A",998,52,2
"0330004B",999,29,2
"033001A",1000,34,4
"033001B",1001,50,3
"033002AA",1002,55,4
"033002AB",1003,14,0
"033002B",1004,26,3
"033003A",1005,14,1
"033003B",1006,36,1
"0350001",1007,369,61
"0350002",1008,350,104
"0350003",1009,501,107
"0350004",1010,263,36
"0350005",1011,682,193
"0350006",1012,595,132
"0350007",1013,358,69
"0350008A",1014,1070,257
"0350008B",1015,1,0
"0350009",1016,439,112
"0350010",1017,636,148
"0350011",1018,424,85
"0370007",1019,1242,668
"0370009",1020,866,440
"0370010",1021,925,216
"0370011",1022,1230,187
"0370012",1023,1104,192
"0370013",1024,67,20
"0370014",1025,1122,458
"0370015",1026,276,34
"0370016",1027,639,93
"0370017",1028,755,121
"0370018",1029,1025,217
"0370019",1030,400,28
"037001A",1031,59,373
"037001B",1032,122,362
"0370020",1033,212,115
"0370021",1034,120,23
"0370022",1035,161,38
"0370024",1036,249,53
"0370025",1037,565,114
"0370027",1038,333,25
"0370028",1039,404,30
"0370029",1040,161,21
"037002A",1041,119,349
"037002B",1042,77,100
"037002C",1043,62,390
"037002D",1044,13,17
"0370030",1045,564,169
"037003A",1046,492,270
"037003B",1047,143,220
"037004A",1048,170,222
"037004B",1049,558,285
"037004C",1050,108,141
"037004D",1051,6,8
"037004E",1052,0,0
"037005A",1053,44,58
"037005B",1054,0,0
"037005C",1055,1968,537
"037006A",1056,888,312
"037006B",1057,990,264
"037008A",1058,138,232
"037008B",1059,1201,365
"037008C",1060,545,125
"0390001",1061,1310,598
"0390002",1062,1544,521
"0390003",1063,1805,569
"0390004",1064,1308,385
"0390005",1065,772,244
"0390006",1066,643,99
"0390007",1067,297,560
"0390008",1068,447,117
"0390009",1069,270,163
"0390010",1070,444,72
"0390011",1071,1027,637
"0390012",1072,1144,709
"0390013",1073,1428,982
"0390014",1074,2047,644
"0390015",1075,1211,153
"0390016",1076,1505,630
"0390017",1077,477,547
"0390018",1078,1834,749
"0390019",1079,359,426
"0390020",1080,650,162
"0390021",1081,1065,1284
"0390022",1082,1831,505
"0390023",1083,1493,604
"0390024",1084,1768,603
"0390025",1085,773,250
"0390026",1086,1059,876
"0390027",1087,810,664
"0390028",1088,1254,796
"0390029",1089,745,1274
"0390030",1090,1492,317
"0390031",1091,526,98
"0390032",1092,1126,275
"0390033",1093,758,323
"0390034",1094,1646,560
"0390035",1095,782,149
"0390036",1096,667,419
"0390037",1097,960,601
"0390038",1098,329,107
"0390039",1099,1273,614
"0390040",1100,1607,889
"0390041",1101,521,640
"0390042",1102,220,108
"0390043",1103,1553,641
"0390044",1104,1078,1422
"0390045",1105,1397,519
"0390046",1106,1730,925
"0390047",1107,848,569
"0390048",1108,857,465
"0390049",1109,788,118
"0390050",1110,1139,2661
"0390051",1111,1600,524
"0390052",1112,1204,542
"0390053",1113,287,868
"0390054",1114,671,1066
"0390055",1115,1167,472
"0390056",1116,1672,710
"0390057",1117,1351,350
"0390058",1118,873,838
"0390059",1119,677,1644
"0390060",1120,1389,1424
"0390061",1121,510,205
"0390062",1122,879,1266
"0390063",1123,494,1630
"0390064",1124,15,5
"0390066",1125,379,877
"0390067",1126,562,1418
"0390068",1127,647,1277
"0410001",1128,999,222
"0410002",1129,2454,807
"0410003",1130,322,181
"0410004",1131,61,528
"0410005",1132,850,200
"0410006",1133,494,88
"0410007",1134,866,167
"0410008",1135,382,460
"0410009",1136,406,363
"0410010",1137,1282,765
"0410011",1138,627,762
"0410012",1139,1536,966
"0410013",1140,837,494
"0410014",1141,257,675
"0410015",1142,1256,576
"0410016",1143,102,331
"0410017",1144,626,809
"0410018",1145,31,190
"0410019",1146,57,63
"0410020",1147,845,1196
"0410021",1148,301,508
"0410022",1149,62,97
"0410023",1150,32,5
"0410024",1151,671,621
"0410025",1152,47,341
"0410026",1153,1278,533
"0410027",1154,1664,355
"0410028",1155,212,23
"0410029",1156,340,182
"0410030",1157,461,564
"0410031",1158,1257,1097
"0410032",1159,0,0
"0410033",1160,234,443
"0410034",1161,926,1189
"0410035",1162,1424,2096
"0410036",1163,1004,850
"0410037",1164,73,10
"0410038",1165,8,101
"0410039",1166,1516,1116
"0410040",1167,1999,1064
"0410041",1168,2261,821
"0410042",1169,0,0
"0410043",1170,4,9
"0410044",1171,56,10
"0410045",1172,45,17
"0410046",1173,100,70
"0410047",1174,102,87
"0410048",1175,102,29
"0410049",1176,49,130
"0410050",1177,4,0
"0410051",1178,0,0
"0410052",1179,10,2
"0410053",1180,0,1
"0410056",1181,5,3
"0410057",1182,27,71
"0410058",1183,229,143
"0410059",1184,12,3
"0410060",1185,78,10
"0410061",1186,30,8
"0410062",1187,1,0
"0410063",1188,2167,837
"0410064",1189,0,0
"0410065",1190,72,16
"0410067",1191,77,41
"0410068",1192,0,0
"0410069",1193,1798,871
"0410070",1194,257,204
"0410071",1195,62,12
"0410072",1196,8,6
"0410074",1197,71,142
"0410077",1198,108,79
"0410078",1199,106,21
"0410079",1200,21,22
"0410080",1201,1456,584
"0410081",1202,21,14
"0410082",1203,156,50
"0410083",1204,0,0
"0410086",1205,2,0
"0410087",1206,0,0
"0410088",1207,0,0
"0410089",1208,0,0
"0410090",1209,0,0
"0410091A",1210,1,1
"0410091B",1211,2,1
"0410092",1212,0,0
"0410093",1213,0,0
"0410094A",1214,0,0
"0410094B",1215,0,0
"0410094C",1216,0,0
