CNTYVTD,VTDKEY,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"1131504",2135,633,693
"1131700",2136,367,631
"1131701",2137,431,539
"1131702",2138,545,851
"1131703",2139,456,875
"1131704",2140,271,431
"1131705",2141,395,634
"1131706",2142,450,880
"1131707",2143,49,151
"1131708",2144,126,187
"1131709",2145,379,1304
"1131710",2146,77,579
"1131711",2147,335,655
"1131712",2148,593,535
"1131713",2149,319,247
"1131714",2150,454,534
"1131715",2151,194,511
"1131716",2152,852,528
"1131717",2153,674,1023
"1131718",2154,477,388
"1131719",2155,490,856
"1131720",2156,668,864
"1131721",2157,652,627
"1131722",2158,483,946
"1131723",2159,25,60
"1131724",2160,11,42
"1131725",2161,212,122
"1131726",2162,466,538
"1131727",2163,46,72
"1131728",2164,315,400
"1131729",2165,240,491
"1131730",2166,0,0
"1131731",2167,0,0
"1132000",2168,1,0
"1132001",2169,3,11
"1132002",2170,381,451
"1132003",2171,1064,886
"1132004",2172,775,466
"1132005",2173,335,362
"1132006",2174,639,440
"1132007",2175,1382,766
"1132008",2176,694,414
"1132009",2177,707,730
"1132010",2178,541,467
"1132011",2179,877,561
"1132012",2180,663,536
"1132013",2181,581,309
"1132014",2182,267,109
"1132015",2183,359,338
"1132016",2184,1567,861
"1132017",2185,311,586
"1132018",2186,380,238
"1132019",2187,758,500
"1132020",2188,813,942
"1132021",2189,1755,848
"1132022",2190,304,217
"1132023",2191,473,417
"1132024",2192,528,513
"1132025",2193,1248,620
"1132026",2194,1481,640
"1132027",2195,815,366
"1132028",2196,0,0
"1132029",2197,885,337
"1132030",2198,1072,293
"1132031",2199,832,1330
"1132032",2200,411,699
"1132033",2201,596,718
"1132034",2202,692,421
"1132035",2203,422,570
"1132036",2204,929,737
"1132037",2205,324,326
"1132038",2206,967,1233
"1132039",2207,766,1123
"1132040",2208,628,579
"1132041",2209,1700,1179
"1132042",2210,1030,1089
"1132043",2211,756,761
"1132044",2212,359,335
"1132045",2213,638,685
"1132046",2214,768,534
"1132047",2215,897,729
"1132048",2216,882,1323
"1132049",2217,533,552
"1132050",2218,558,534
"1132051",2219,972,744
"1132052",2220,710,304
"1132053",2221,378,926
"1132054",2222,371,988
"1132055",2223,194,476
"1132056",2224,571,354
"1132057",2225,228,144
"1132058",2226,368,384
"1132059",2227,512,336
"1132060",2228,1173,695
"1132061",2229,1073,894
"1132062",2230,836,704
"1132063",2231,323,205
"1132064",2232,619,712
"1132065",2233,696,1033
"1132066",2234,697,398
"1132067",2235,424,505
"1132068",2236,636,954
"1132069",2237,1034,1046
"1132070",2238,486,482
"1132071",2239,787,657
"1132072",2240,961,1077
"1132073",2241,305,435
"1132074",2242,73,186
"1132076",2243,0,0
"1132077",2244,469,406
"1132078",2245,0,0
"1132079",2246,198,705
"1132200",2247,1019,337
"1132201",2248,897,363
"1132202",2249,1024,343
"1132203",2250,780,342
"1132220",2251,1038,227
"1132221",2252,1940,502
"1132222",2253,1615,460
"1132223",2254,734,390
"1132224",2255,585,579
"1132225",2256,883,313
"1132226",2257,1375,513
"1132300",2258,263,519
"1132301",2259,992,592
"1132302",2260,226,640
"1132303",2261,654,813
"1132305",2262,1042,1139
"1132306",2263,409,437
"1132307",2264,205,230
"1132308",2265,53,118
"1132309",2266,174,328
"1132310",2267,752,620
"1132311",2268,68,142
"1132312",2269,5,25
"1132400",2270,69,22
"1132401",2271,1125,1018
"1132402",2272,866,983
"1132403",2273,2,0
"1132404",2274,400,660
"1132405",2275,1222,1009
"1132406",2276,777,1123
"1132407",2277,890,1215
"1132408",2278,278,509
"1132409",2279,352,808
"1132410",2280,347,576
"1132411",2281,94,259
"1132500",2282,695,984
"1132501",2283,591,391
"1132502",2284,922,423
"1132503",2285,1240,672
"1132504",2286,462,404
"1132505",2287,791,984
"1132506",2288,850,664
"1132507",2289,824,664
"1132508",2290,638,1094
"1132509",2291,1088,858
"1132510",2292,507,557
"1132511",2293,646,616
"1132512",2294,486,449
"1132513",2295,709,955
"1132514",2296,835,812
"1132601",2297,339,771
"1132602",2298,506,1133
"1132603",2299,564,1250
"1132604",2300,549,1080
"1132605",2301,383,1064
"1132606",2302,0,0
"1132700",2303,833,1074
"1132701",2304,1346,1205
"1132702",2305,2107,1131
"1132703",2306,253,360
"1132704",2307,645,1110
"1132705",2308,391,709
"1132706",2309,819,749
"1132707",2310,823,962
"1132708",2311,1368,1229
"1132709",2312,441,336
"1132710",2313,644,741
"1132711",2314,646,758
"1132712",2315,873,1327
"1132713",2316,813,395
"1132714",2317,1130,1438
"1132715",2318,717,892
"1132716",2319,325,531
"1132717A",2320,2,0
"1132717B",2321,0,0
"1132717C",2322,0,0
"1132800",2323,0,0
"1132801",2324,1373,826
"1132802",2325,1679,1139
"1132803",2326,666,267
"1132804",2327,925,628
"1132805",2328,1489,1187
"1132806",2329,923,696
"1132807A",2330,834,683
"1132807B",2331,0,0
"1132808",2332,1093,800
"1132809",2333,793,909
"1132810A",2334,13,2
"1132810B",2335,0,0
"1132900",2336,1070,837
"1132901",2337,245,547
"1132902",2338,391,739
"1132903",2339,516,757
"1132904",2340,2,1
"1132905",2341,229,114
"1132910",2342,14,10
"1132911",2343,69,73
"1132920",2344,1014,1012
"1132921",2345,1389,1145
"1132922",2346,1808,1501
"1132923",2347,1093,933
"1132924",2348,584,576
"1132925",2349,1312,711
"1132926",2350,617,546
"1132927",2351,1564,1538
"1132928",2352,1296,595
"1132929",2353,427,338
"1132940",2354,681,275
"1132941",2355,1633,1099
"1132942",2356,1747,1091
"1133000",2357,900,1221
"1133001",2358,12,175
"1133002",2359,60,585
"1133003",2360,107,901
"1133004",2361,210,1018
"1133005",2362,91,169
"1133006",2363,1061,1099
"1133007",2364,379,371
"1133008",2365,1011,2653
"1133009",2366,441,1082
"1133010",2367,111,101
"1133011",2368,138,706
"1133012",2369,13,50
"1133013",2370,64,228
"1133014",2371,271,509
"1133015",2372,45,61
"1133016A",2373,155,703
"1133016B",2374,0,0
"1133017",2375,18,281
"1133018",2376,32,673
"1133019",2377,9,256
"1133020",2378,17,108
"1133021",2379,11,317
"1133022",2380,18,538
"1133023",2381,11,500
"1133024",2382,21,528
"1133025",2383,3,51
"1133026",2384,11,278
"1133027",2385,14,502
"1133028",2386,15,406
"1133029",2387,13,298
"1133030",2388,3,6
"1133031",2389,68,193
"1133032",2390,51,458
"1133033",2391,7,134
"1133034",2392,26,542
"1133035",2393,29,497
"1133036",2394,3,2
"1133037",2395,7,163
"1133038",2396,4,393
"1133039",2397,40,925
"1133040",2398,17,416
"1133041",2399,1,41
"1133042",2400,15,540
"1133043",2401,17,710
"1133044",2402,36,871
"1133045",2403,12,246
"1133046",2404,154,1047
"1133047",2405,233,523
"1133048",2406,38,1090
"1133049",2407,26,821
"1133050",2408,38,671
"1133051",2409,14,319
"1133052",2410,38,904
"1133053",2411,65,915
"1133054",2412,78,1411
"1133055",2413,118,1322
"1133056",2414,71,1302
"1133057",2415,93,1150
"1133058",2416,25,1054
"1133059",2417,14,675
"1133060",2418,17,720
"1133061",2419,11,542
"1133062",2420,34,915
"1133063",2421,81,1565
"1133064",2422,37,1253
"1133065",2423,39,1010
"1133066",2424,40,796
"1133067",2425,44,883
"1133068",2426,70,1635
"1133069",2427,24,707
"1133070",2428,42,1307
"1133071",2429,42,1088
"1133072",2430,3,17
"1133073",2431,3,67
"1133074",2432,38,230
"1133075",2433,12,72
"1133076",2434,0,0
"1133077",2435,373,1468
"1133078",2436,193,1079
"1133079",2437,86,160
"1133080",2438,153,379
"1133081",2439,429,547
"1133082",2440,71,928
"1133083",2441,163,463
"1133084",2442,116,586
"1133086",2443,850,1178
"1133087",2444,0,0
"1133088",2445,8,25
"1133089",2446,6,10
"1133090",2447,213,685
"1133091",2448,0,0
"1133092",2449,37,658
"1133093",2450,0,9
"1133094",2451,0,0
"1133095",2452,0,0
"1133096",2453,0,0
"1133097",2454,0,77
"1133098",2455,2,103
"1133099",2456,10,117
"1133100",2457,322,1020
"1133101",2458,131,356
"1133102",2459,246,1217
"1133103",2460,291,1500
"1133104",2461,607,2239
"1133105",2462,427,1058
"1133106",2463,320,1627
"1133107",2464,195,1265
"1133108",2465,663,736
"1133109",2466,1046,1179
"1133110",2467,250,1479
"1133111",2468,7,18
"1133112",2469,5,11
"1133113",2470,0,4
"1133114",2471,0,0
"1133200",2472,694,753
"1133201",2473,482,568
"1133202",2474,305,959
"1133203",2475,370,830
"1133204",2476,482,869
"1133205",2477,103,864
"1133206",2478,721,792
"1133207",2479,611,890
"1133208",2480,321,638
"1133209",2481,66,51
"1133210",2482,478,667
"1133211",2483,155,446
"1133300",2484,796,771
"1133301",2485,801,744
"1133302",2486,383,433
"1133303",2487,432,944
"1133304",2488,727,769
"1133305",2489,983,1203
"1133306",2490,298,461
"1133307",2491,318,573
"1133308",2492,370,560
"1133309",2493,533,654
"1133310",2494,620,645
"1133311",2495,594,591
"1133312",2496,773,1063
"1133313",2497,912,1985
"1133314",2498,644,1495
"1133315",2499,248,431
"1133316",2500,643,867
"1133317",2501,292,685
"1133318",2502,340,548
"1133400",2503,56,254
"1133401",2504,1,1
"1133402",2505,47,131
"1133404",2506,271,670
"1133405",2507,395,974
"1133406",2508,14,3
"1133407",2509,88,87
"1133408",2510,217,652
"1133409",2511,87,190
"1133410",2512,40,97
"1133411",2513,1,1
"1133500",2514,2151,979
"1133501",2515,5,1
"1133600",2516,255,1029
"1133601",2517,293,1070
"1133602",2518,84,343
"1133603",2519,56,142
"1133604",2520,354,1334
"1133605",2521,260,1442
"1133606",2522,139,1298
"1133607",2523,302,2335
"1133608",2524,118,1711
"1133609",2525,334,1567
"1133610",2526,99,221
"1133611",2527,190,479
"1133612",2528,267,1630
"1133613",2529,108,271
"1133614",2530,58,429
"1133615",2531,146,1294
"1133616",2532,42,316
"1133617",2533,90,1319
"1133618",2534,23,210
"1133619",2535,27,72
"1133620",2536,77,602
"1133621",2537,0,0
"1133700",2538,861,1394
"1133701",2539,973,1255
"1133702",2540,589,736
"1133703",2541,23,9
"1133800",2542,131,2293
"1133801",2543,27,146
"1133802",2544,230,1906
"1133803",2545,141,1778
"1133805",2546,154,2486
"1133806",2547,29,496
"1133807",2548,185,1128
"1133808",2549,694,1483
"1133809",2550,37,147
"1133900",2551,451,2598
"1133920",2552,684,492
"1133921",2553,968,1069
"1133922",2554,7,32
"1133940A",2555,281,641
"1133940B",2556,0,0
"1133950",2557,199,683
"1134000",2558,51,150
"1134001",2559,119,474
"1134002",2560,254,392
"1134003A",2561,18,103
"1134003B",2562,0,0
"1134004",2563,228,672
"1134005",2564,170,334
"1134006A",2565,273,491
"1134006B",2566,0,0
"1134007",2567,59,74
"1134008",2568,30,195
"1134009A",2569,84,624
"1134009B",2570,0,0
"1134010",2571,330,496
"1134011",2572,97,330
"1134012",2573,17,29
"1134013",2574,115,114
"1134014",2575,770,536
"1134015",2576,173,754
"1134016",2577,205,818
"1134017",2578,88,198
"1134018",2579,284,466
"1134019",2580,220,1110
"1134020",2581,100,409
"1134021",2582,399,2086
"1134022",2583,221,1278
"1134023",2584,1,0
"1134024",2585,90,725
"1134025",2586,4,131
"1134026",2587,5,58
"1134027",2588,18,108
"1134028",2589,18,364
"1134029",2590,1,2
"1134030",2591,2,25
"1134031",2592,60,781
"1134032",2593,403,1467
"1134033",2594,286,899
"1134035",2595,90,524
"1134036",2596,29,325
"1134037",2597,13,80
"1134038",2598,88,912
"1134039",2599,7,232
"1134040",2600,13,298
"1134041",2601,17,299
"1134043",2602,61,549
"1134044",2603,24,424
"1134046",2604,34,457
"1134047",2605,18,338
"1134048",2606,10,2
"1134049",2607,0,0
"1134050",2608,534,1812
"1134051",2609,0,0
"1134052",2610,541,1780
"1134053",2611,40,171
"1134054",2612,26,176
"1134055",2613,206,925
"1134056",2614,124,1030
"1134057",2615,112,640
"1134058",2616,62,398
"1134059",2617,26,159
"1134060",2618,125,817
"1134061",2619,163,842
"1134062",2620,124,664
"1134063",2621,244,1238
"1134065",2622,82,357
"1134066",2623,78,335
"1134067",2624,147,765
"1134068",2625,146,726
"1134069",2626,246,1171
"1134070",2627,89,604
"1134071",2628,17,154
"1134072",2629,13,101
"1134073",2630,189,705
"1134074",2631,298,1308
"1134075",2632,69,381
"1134076",2633,213,981
"1134077",2634,98,503
"1134078",2635,126,714
"1134079",2636,751,2005
"1134080",2637,192,305
"1134081",2638,191,1108
"1134082",2639,43,377
"1134083",2640,108,507
"1134084",2641,25,230
"1134085",2642,57,367
"1134086",2643,173,967
"1134087",2644,59,310
"1134088",2645,13,138
"1134090",2646,11,19
"1134091A",2647,0,0
"1134091B",2648,0,0
"1134091C",2649,0,0
"1134092",2650,33,65
"1134093",2651,0,28
"1134094",2652,95,195
"1134095",2653,9,19
"1134096",2654,3,2
"1134097A",2655,138,400
"1134097B",2656,0,0
"1134098",2657,15,19
"1134099",2658,407,291
"1134100",2659,4,11
"1134101",2660,3,34
"1134102",2661,86,96
"1134103",2662,17,75
"1134104",2663,2,11
"1134105",2664,1,7
"1134106",2665,45,55
"1134107",2666,0,26
"1134108",2667,0,23
"1134109",2668,0,19
"1134110",2669,15,384
"1134111",2670,29,99
"1134112",2671,45,16
"1134113",2672,137,743
"1134114",2673,95,625
"1134115",2674,82,151
"1134116",2675,0,0
"1134117",2676,3,11
"1134118",2677,2,5
"1134119",2678,1,1
"1134120",2679,27,201
"1134121",2680,0,0
"1134122",2681,0,0
"1134123",2682,0,0
"1134124",2683,0,0
"1134125",2684,0,0
"1134300",2685,139,524
"1134500",2686,521,825
"1134501",2687,518,710
"1134502",2688,674,1256
"1134503",2689,626,1560
"1134504",2690,276,443
"1134505",2691,427,592
"1134506",2692,276,391
"1134507",2693,46,414
"1134508",2694,89,181
"1134509",2695,397,349
"1134510",2696,296,604
"1134511",2697,307,468
"1134512",2698,312,284
"1134513",2699,324,714
"1134514",2700,330,329
"1134515",2701,224,598
"1134516",2702,4,8
"1134517",2703,1051,797
"1134518",2704,355,547
"1134519",2705,769,1134
"1134520",2706,113,300
"1134521",2707,1030,1236
"1134522",2708,602,1119
"1134523",2709,120,209
"1134525",2710,216,442
"1134527",2711,187,474
"1134528",2712,0,0
"1134529",2713,173,253
"1134530",2714,15,86
"1134531",2715,161,132
"1134532",2716,61,80
"1134533",2717,164,358
"1134534",2718,7,34
"1134535",2719,103,251
"1134536",2720,10,15
"1134537",2721,2,3
"1134538",2722,114,284
"1134539",2723,0,0
"1134540",2724,0,0
"1134541",2725,0,0
"1134542",2726,0,0
"1134600",2727,605,623
"1134601",2728,1028,970
"1134602",2729,466,569
"1134603",2730,7,16
"1134604",2731,640,796
"1134605",2732,576,653
"1134606",2733,621,807
"1134607",2734,269,519
"1134608A",2735,588,1063
"1134608B",2736,0,0
"1134609",2737,201,635
"1134610",2738,639,600
"1134611",2739,364,469
"1134612",2740,100,84
"1134613",2741,77,238
"1134614",2742,214,91
"1134615",2743,39,73
"1134616",2744,204,339
"1134617",2745,52,51
"1134618",2746,109,147
"1134619",2747,433,329
"1134620",2748,427,460
"1134621",2749,396,1432
"1134622",2750,418,642
"1134623",2751,463,760
"1134624",2752,439,462
"1134625",2753,646,585
"1134626",2754,865,729
"1134627A",2755,1011,1407
"1134627B",2756,0,0
"1134628",2757,179,694
"1134629",2758,196,418
"1134630",2759,463,436
"1134631",2760,374,370
"1134632",2761,236,677
"1134633",2762,123,286
"1134634",2763,828,956
"1134635",2764,227,579
"1134636",2765,0,6
"1134637",2766,700,1267
"1134639",2767,87,212
"1134640",2768,362,931
"1134641",2769,119,161
"1134642",2770,33,40
"1134644",2771,32,133
"1134645",2772,3,2
"1134646",2773,111,111
"1134647",2774,1050,1112
"1134648",2775,219,691
"1134649",2776,7,37
"1134651",2777,5,17
"1134652",2778,119,255
"1134653",2779,8,15
"1134654",2780,205,317
"1134655",2781,32,7
"1134656",2782,11,41
"1134657",2783,6,32
"1134658",2784,17,22
"1134659",2785,37,93
"1134660",2786,9,16
"1134661",2787,106,290
"1134662",2788,38,79
"1134663",2789,0,0
"1134664",2790,425,630
"1150001",2791,364,147
"1150002",2792,423,201
"1150003",2793,602,184
"1150004",2794,531,164
"1150005",2795,70,17
"1150011",2796,66,11
"1150012",2797,27,4
"1150013",2798,51,7
"1150017",2799,41,6
"1170001",2800,418,193
"1170002",2801,417,254
"1170003",2802,1356,317
"1170004",2803,479,262
"1190001",2804,386,52
"1190003",2805,156,59
"1190004",2806,227,51
"1190005",2807,344,73
"1190007",2808,120,24
"1190009",2809,148,13
"1190010",2810,173,55
"1211000",2811,1436,268
"1211001",2812,689,183
"1211002",2813,491,156
"1211003",2814,1543,368
"1211004",2815,1249,976
"1211005",2816,1139,295
"1211006",2817,1433,988
"1211007",2818,1449,1090
"1211008",2819,641,180
"1211009",2820,684,755
"1211010",2821,895,653
"1211011",2822,651,968
"1211012",2823,890,951
"1211013",2824,824,751
"1211014",2825,31,98
"1211015",2826,1018,741
"1211016",2827,1136,725
"1211017",2828,556,328
"1211018",2829,1652,1229
"1211019",2830,752,731
"1211020",2831,1878,839
"1211021",2832,1317,664
"1211022",2833,1239,722
"1211023",2834,1419,698
"1211024",2835,1045,353
"1211025",2836,1560,730
"1211026",2837,1030,1476
"1211027",2838,191,227
"1211028",2839,586,704
"1211029",2840,1165,990
"1211030",2841,1761,923
"1211031",2842,990,548
"1211032",2843,2051,1455
"1211033",2844,876,871
"1211034",2845,1536,1110
"1211035",2846,1256,700
"1211036",2847,2011,861
"1211037",2848,343,110
"1211038",2849,72,115
"1211039",2850,4,0
"1211040",2851,1093,571
"1211041",2852,703,736
"1211042",2853,85,10
"1211043",2854,94,41
"1211044",2855,1214,976
"1211045",2856,785,147
"1211046",2857,1292,1020
"1211047",2858,221,128
"1211048",2859,346,104
"1211049",2860,56,76
"1211050",2861,837,546
"1211051",2862,851,477
"1211052",2863,939,705
"1211053",2864,1383,437
"1211054",2865,239,343
"1211055",2866,377,320
"1211056",2867,513,290
"1211057",2868,864,381
"1212000",2869,459,1301
"1212001",2870,501,1277
"1212002",2871,824,1559
"1212003",2872,490,647
"1212004",2873,838,1153
"1212005",2874,1483,1197
"1212006",2875,1021,918
"1212007",2876,753,1303
"1212008",2877,909,1122
"1212009",2878,736,703
"1212010",2879,1327,1208
"1212011",2880,897,935
"1212012",2881,822,355
"1212013",2882,614,460
"1212014",2883,1024,697
"1212015A",2884,1141,1058
"1212015B",2885,0,0
"1212016",2886,1054,1049
"1212017",2887,1912,1137
"1212018",2888,672,979
"1212019",2889,0,0
"1212020",2890,1888,911
"1212021",2891,1072,1073
"1212022",2892,1055,647
"1212023",2893,1100,1024
"1212024",2894,625,555
"1212025",2895,694,503
"1212026",2896,1290,845
"1212027",2897,1276,811
"1212028",2898,962,1087
"1212029",2899,619,627
"1212030",2900,1337,1437
"1212031",2901,1035,1044
"1212032",2902,731,677
"1212033",2903,718,995
"1212034",2904,453,748
"1212035",2905,801,842
"1212036",2906,299,179
"1212096",2907,0,0
"1212097",2908,0,0
"1212098",2909,0,0
"1212099",2910,0,0
"1213000",2911,1486,883
"1213001",2912,1453,609
"1213002",2913,2027,881
"1213003",2914,1069,555
"1213004",2915,1430,605
"1213005",2916,982,400
"1213006",2917,1356,934
"1213007",2918,1172,1233
"1213008",2919,1089,688
"1213009",2920,855,644
"1213010",2921,1232,1179
"1213011",2922,922,1266
"1213012",2923,597,487
"1213013",2924,824,654
"1213014",2925,650,594
"1213015",2926,568,709
"1213016",2927,377,656
"1213017",2928,448,1164
"1213018",2929,278,311
"1213019",2930,962,1426
"1213020",2931,118,203
"1213021",2932,1211,1185
"1213022",2933,83,49
"1213023",2934,147,114
"1213024",2935,1236,764
"1213025",2936,1567,863
"1213026",2937,1004,602
"1213027",2938,1695,1002
"1213028",2939,1686,976
"1213029",2940,885,611
"1213030",2941,993,561
"1213031",2942,1381,708
"1213032",2943,294,598
"1213033",2944,882,494
"1213098",2945,0,0
"1213099",2946,0,0
"1214000",2947,1918,562
"1214001",2948,671,197
"1214002",2949,1723,409
"1214003",2950,2573,680
"1214004",2951,222,918
"1214005",2952,760,816
"1214006",2953,533,953
"1214007",2954,445,1225
"1214008",2955,246,765
"1214009",2956,515,1453
"1214010",2957,446,662
"1214011",2958,742,1892
"1214012",2959,814,653
"1214013",2960,49,177
"1214014",2961,116,872
"1214015",2962,121,289
"1214016",2963,1,1
"1214017",2964,2205,499
"1214018",2965,886,322
"1214019",2966,93,33
"1214020",2967,520,135
"1214021",2968,939,203
"1214022",2969,1311,397
"1214023A",2970,1511,552
"1214023B",2971,0,0
"1214024",2972,1342,640
"1214025",2973,1298,867
"1214026",2974,597,422
"1214027",2975,1485,951
"1214028",2976,2011,683
"1214029",2977,405,131
"1214030",2978,208,90
"1214031",2979,2074,667
"1214032",2980,2351,881
"1214033",2981,1062,431
"1214034",2982,1501,740
"1214035",2983,1834,670
"1214036",2984,1494,344
"1214037",2985,372,770
"1214038",2986,114,57
"1214039",2987,151,1051
"1214040",2988,358,430
"1214041",2989,565,592
"1214042",2990,16,5
"1214043",2991,1225,434
"1214044",2992,1532,519
"1214045",2993,360,2125
"1214046",2994,1692,680
"1214047",2995,859,410
"1214048",2996,1532,700
"1214049",2997,814,197
"1230101",2998,681,120
"1230102",2999,152,219
"1230201",3000,233,31
"1230202",3001,470,100
"1230203",3002,445,62
"1230301",3003,683,88
"1230302",3004,503,95
"1230303",3005,191,44
"1230401",3006,978,232
"1230402",3007,634,62
"1250001",3008,60,11
"1250002",3009,53,7
"1250003A",3010,45,4
"1250003B",3011,22,3
"1250003C",3012,105,14
"1250004A",3013,81,24
"1250004B",3014,4,1
"1250005",3015,110,13
"1250006",3016,155,30
"1270001",3017,245,427
"1270002",3018,179,462
"1270003",3019,51,125
"1270004",3020,27,31
"1270005",3021,77,368
"1270006",3022,139,273
"1270007",3023,71,187
"1290101",3024,121,9
"1290102",3025,168,24
"1290201",3026,348,50
"1290301",3027,106,2
"1290303",3028,141,21
"1290401",3029,216,38
"1310001",3030,185,681
"1310002",3031,124,531
"1310003",3032,52,214
"1310004",3033,32,53
"1310005",3034,57,136
"1310006",3035,13,54
"1310007",3036,47,23
"1310008",3037,439,553
"1310009",3038,113,426
"1330001",3039,1255,171
"1330002",3040,170,23
"1330003",3041,611,134
"1330004",3042,182,16
"1330005",3043,286,45
"1330006",3044,181,24
"1330007",3045,1052,114
"1330008",3046,1315,211
"1330009",3047,323,33
"1350101",3048,1200,459
"1350102",3049,696,364
"1350103",3050,409,172
"1350104",3051,97,24
"1350106",3052,487,144
"1350107",3053,332,72
"1350108",3054,1019,220
"1350109",3055,102,15
"1350110",3056,1342,436
"1350111",3057,154,98
"1350201",3058,2787,590
"1350202",3059,1279,265
"1350203",3060,1179,296
"1350204",3061,607,177
"1350205",3062,807,213
"1350206",3063,331,52
"1350207",3064,920,80
"1350208",3065,1536,417
"1350209",3066,430,148
"1350301",3067,634,404
"1350302",3068,303,149
"1350303",3069,439,246
"1350304",3070,103,81
"1350305",3071,78,98
"1350306",3072,202,169
"1350307",3073,457,304
"1350308",3074,317,114
"1350309",3075,417,186
"1350311",3076,294,156
"1350312",3077,505,171
"1350401",3078,213,103
"1350402",3079,170,390
"1350403",3080,183,578
"1350404",3081,312,198
"1350405",3082,69,209
"1350406",3083,385,424
"1350407",3084,260,101
"1350408",3085,80,116
"1350409",3086,229,163
"1350412",3087,109,120
"1370001",3088,66,24
"1370002",3089,236,27
"1370003",3090,184,27
"1370004",3091,108,33
"1390101",3092,1324,515
"1390102",3093,1600,470
"1390103",3094,1875,613
"1390104",3095,1664,437
"1390105",3096,2021,616
"1390106",3097,1640,351
"1390107",3098,1723,560
"1390108",3099,1531,446
"1390109",3100,912,327
"1390110",3101,1350,1050
"1390111",3102,992,299
"1390112",3103,788,206
"1390113",3104,153,593
"1390114",3105,793,288
"1390115",3106,613,286
"1390116",3107,801,293
"1390117",3108,908,357
"1390118",3109,1059,436
"1390119",3110,626,189
"1390120",3111,236,69
"1390121",3112,848,312
"1390122",3113,549,180
"1390123",3114,68,281
"1390124",3115,183,375
"1390125",3116,1459,475
"1390126",3117,332,175
"1390127",3118,145,58
"1390128",3119,33,39
"1390129",3120,272,106
"1390130",3121,226,97
"1390131",3122,676,261
"1390132",3123,264,55
"1390133",3124,215,71
"1390134",3125,375,56
"1390135",3126,1807,332
"1390136",3127,301,68
"1390137",3128,597,134
"1390138",3129,710,216
"1390139",3130,535,131
"1390140",3131,1866,771
"1390141",3132,911,277
"1390142",3133,788,306
"1390143",3134,1263,454
"1390144",3135,462,694
"1390145",3136,882,966
"1390146",3137,948,573
"1390147",3138,1420,702
"1390148",3139,663,576
"1390149",3140,439,237
"1410001",3141,250,594
"1410002",3142,369,949
"1410003",3143,374,731
"1410004",3144,273,473
"1410005",3145,479,854
"1410006",3146,694,576
"1410007",3147,620,871
"1410008",3148,987,654
"1410009",3149,747,1022
"1410010",3150,439,1329
"1410011",3151,786,1540
"1410012",3152,283,454
"1410013",3153,541,1106
"1410014",3154,934,1154
"1410015",3155,721,817
"1410016",3156,483,1299
"1410017",3157,400,541
"1410018",3158,883,959
"1410019",3159,551,1173
"1410020",3160,246,450
"1410021",3161,638,669
"1410022",3162,468,850
"1410023",3163,389,449
"1410024",3164,800,1077
"1410025",3165,496,907
"1410026",3166,322,638
"1410027",3167,256,712
"1410028",3168,32,135
"1410029",3169,319,907
"1410030",3170,9,69
"1410031",3171,135,514
"1410032",3172,268,673
"1410033",3173,380,818
"1410034",3174,41,261
"1410035",3175,367,810
"1410036",3176,159,854
"1410037",3177,110,688
"1410038",3178,157,731
"1410039",3179,38,236
"1410040",3180,58,312
"1410041",3181,74,366
"1410042",3182,102,602
"1410043",3183,564,599
"1410044",3184,676,1021
"1410045",3185,590,1039
"1410046",3186,199,430
"1410047",3187,543,768
"1410048",3188,192,649
"1410049",3189,256,413
"1410050",3190,381,867
"1410051",3191,390,596
"1410052",3192,282,687
"1410053",3193,372,895
"1410054",3194,232,592
"1410055",3195,425,726
"1410056",3196,430,637
"1410057",3197,212,461
"1410058",3198,277,476
"1410059",3199,286,818
"1410060",3200,618,597
"1410061",3201,274,461
"1410062",3202,143,371
"1410063",3203,220,805
"1410064",3204,223,848
"1410065",3205,84,94
"1410066",3206,218,711
"1410067",3207,238,705
"1410068",3208,71,213
"1410069",3209,372,1365
"1410070",3210,249,926
"1410071",3211,187,785
"1410072",3212,127,472
"1410073",3213,106,435
"1410074",3214,144,728
"1410075",3215,219,590
"1410076",3216,133,463
"1410077",3217,210,836
"1410078",3218,117,456
"1410079",3219,44,213
"1410080",3220,79,522
"1410081",3221,31,118
"1410082",3222,140,712
"1410083",3223,69,453
"1410084",3224,146,743
"1410085",3225,86,531
"1410086",3226,73,110
"1410087",3227,0,3
"1410088A",3228,130,132
"1410088B",3229,0,1
"1410089",3230,293,1040
"1410090",3231,345,684
"1410091",3232,139,337
"1410092",3233,569,1011
"1410093",3234,218,536
"1410094",3235,377,899
"1410095",3236,479,949
"1410096",3237,603,1026
"1410097",3238,308,698
"1410098",3239,445,693
"1410099",3240,159,420
"1410100",3241,416,1071
"1410101",3242,479,842
"1410102",3243,288,830
"1410103",3244,442,598
"1410104",3245,504,931
"1410105",3246,432,954
"1410106",3247,372,1003
"1410107",3248,344,742
"1410108",3249,466,623
"1410109",3250,316,632
"1410110",3251,482,1081
"1410111",3252,218,788
"1410112",3253,291,1202
"1410113",3254,312,841
"1410114",3255,428,1384
"1410115",3256,278,671
"1410116",3257,431,1204
"1410117",3258,407,1073
"1410118",3259,345,821
"1410119",3260,374,900
"1410120",3261,361,1048
"1410121",3262,231,747
"1410122",3263,407,1273
"1410123",3264,285,1062
"1410124",3265,249,975
"1410125",3266,521,1544
